127.0.0.1 - - [25/Jan/2021:15:33:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:33:38 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:39:57 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:51:53 +0530] "GET /libraryManagement/addBook.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:51:54 +0530] "GET /libraryManagement/login.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:53:17 +0530] "GET /libraryManagement/login2.jsp?username=chintan&password=chintan HTTP/1.1" 500 3537
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:53:53 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:53:55 +0530] "GET /libraryManagement/addBook.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:53:55 +0530] "GET /libraryManagement/login.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:54:02 +0530] "GET /libraryManagement/login2.jsp?username=chintan&password=chintan HTTP/1.1" 500 3537
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:55:29 +0530] "GET /libraryManagement/login.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:55:36 +0530] "GET /libraryManagement/login2.jsp?username=yash&password=yash HTTP/1.1" 500 3537
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:58:45 +0530] "GET /libraryManagement/login.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:59:02 +0530] "GET /libraryManagement/login2.jsp?username=chintan&password=chintan HTTP/1.1" 500 3698
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:05:25 +0530] "GET /libraryManagement/addBook.jsp HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:12:44 +0530] "GET /libraryManagement/issueBook.jsp HTTP/1.1" 200 2777
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:15:35 +0530] "GET /libraryManagement/returnBook.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:15:35 +0530] "GET /libraryManagement/login.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:17:28 +0530] "GET /libraryManagement/returnBook.jsp HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:22:07 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:23:20 +0530] "GET /libraryManagement/addBook.jsp HTTP/1.1" 200 2465
